Order Line,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
1,CA-2014-103800,6/21/2016,6/25/2016,Standard Class,DP-13000,OFF-PA-10000174,16.45,2,0.2,5.55
2,CA-2014-112326,6/22/2016,6/26/2016,Standard Class,PO-19195,OFF-LA-10003223,11.78,3,0.2,4.27
3,CA-2014-112326,6/22/2016,6/26/2016,Standard Class,PO-19195,OFF-ST-10002743,272.74,3,0.2,-64.77
4,CA-2014-112326,6/22/2016,6/26/2016,Standard Class,PO-19195,OFF-BI-10004094,3.54,2,0.8,-5.49
5,CA-2014-141817,6/23/2016,6/30/2016,Standard Class,MB-18085,OFF-AR-10003478,19.54,3,0.2,4.88
6,CA-2014-130813,6/24/2016,6/26/2016,Second Class,LS-17230,OFF-PA-10002005,19.44,3,0,9.33
7,CA-2014-106054,6/24/2016,6/25/2016,First Class,JO-15145,OFF-AR-10002399,12.78,3,0,5.24
8,CA-2014-167199,6/24/2016,6/28/2016,Standard Class,ME-17320,FUR-CH-10004063,2573.82,9,0,746.41
9,CA-2014-167199,6/24/2016,6/28/2016,Standard Class,ME-17320,OFF-BI-10004632,609.98,2,0,274.49
10,CA-2014-167199,6/24/2016,6/28/2016,Standard Class,ME-17320,OFF-AR-10001662,5.48,2,0,1.48
11,CA-2014-167199,6/24/2016,6/28/2016,Standard Class,ME-17320,TEC-PH-10004977,391.98,2,0,113.67
12,CA-2014-167199,6/24/2016,6/28/2016,Standard Class,ME-17320,TEC-PH-10004539,755.96,4,0,204.11
13,CA-2014-167199,6/24/2016,6/28/2016,Standard Class,ME-17320,OFF-FA-10001883,31.12,4,0,0.31
14,CA-2014-167199,6/24/2016,6/28/2016,Standard Class,ME-17320,OFF-PA-10000955,6.54,1,0,3.01
15,CA-2014-105417,6/25/2016,6/30/2016,Standard Class,VS-21820,FUR-FU-10004864,76.73,3,0.6,-53.71
16,CA-2014-105417,6/25/2016,6/30/2016,Standard Class,VS-21820,OFF-BI-10003708,10.43,7,0.8,-18.25
17,CA-2014-135405,6/27/2016,7/1/2016,Standard Class,MS-17830,OFF-AR-10004078,9.34,2,0.2,1.17
18,CA-2014-135405,6/27/2016,7/1/2016,Standard Class,MS-17830,TEC-AC-10001266,31.20,3,0.2,9.75
19,CA-2014-149020,6/28/2016,7/3/2016,Standard Class,AJ-10780,OFF-LA-10004272,2.89,1,0,1.36
20,CA-2014-149020,6/28/2016,7/3/2016,Standard Class,AJ-10780,FUR-FU-10000965,51.94,1,0,21.30
21,CA-2014-130092,6/29/2016,7/2/2016,First Class,SV-20365,FUR-FU-10000010,9.94,2,0,3.08
22,CA-2014-162775,7/1/2016,7/3/2016,Second Class,CS-12250,OFF-EN-10001990,11.36,2,0,5.34
23,CA-2014-162775,7/1/2016,7/3/2016,Second Class,CS-12250,OFF-EN-10001532,50.94,3,0,25.47
24,CA-2014-162775,7/1/2016,7/3/2016,Second Class,CS-12250,TEC-AC-10003174,646.74,6,0,258.70
25,CA-2014-162775,7/1/2016,7/3/2016,Second Class,CS-12250,OFF-BI-10004187,5.64,3,0,2.71
26,CA-2014-162775,7/1/2016,7/3/2016,Second Class,CS-12250,OFF-ST-10000025,572.58,6,0,34.35
27,CA-2014-109232,7/1/2016,7/4/2016,Second Class,ND-18370,FUR-CH-10000422,545.94,6,0,87.35
28,CA-2014-157147,7/1/2016,7/6/2016,Standard Class,BD-11605,OFF-ST-10000078,1325.85,5,0,238.65
29,CA-2014-157147,7/1/2016,7/6/2016,Standard Class,BD-11605,FUR-BO-10003034,334.00,3,0.15,3.93
30,CA-2014-157147,7/1/2016,7/6/2016,Standard Class,BD-11605,OFF-AR-10003514,19.90,5,0,6.57
31,CA-2014-118192,7/1/2016,7/6/2016,Standard Class,MM-17920,OFF-PA-10002947,37.41,7,0.2,13.09
32,CA-2014-118192,7/1/2016,7/6/2016,Standard Class,MM-17920,OFF-BI-10003476,3.44,2,0.7,-2.52
33,CA-2014-149524,7/2/2016,7/3/2016,First Class,BS-11590,FUR-BO-10003433,61.96,4,0.5,-53.29
34,CA-2014-103366,7/3/2016,7/5/2016,First Class,EH-13990,TEC-AC-10003628,149.95,5,0,65.98
35,CA-2014-115791,7/4/2016,7/6/2016,Second Class,DL-13315,FUR-FU-10001095,127.10,6,0.2,28.60
36,CA-2014-115791,7/4/2016,7/6/2016,Second Class,DL-13315,TEC-PH-10004614,124.20,3,0.4,-31.05
37,CA-2014-115791,7/4/2016,7/6/2016,Second Class,DL-13315,OFF-BI-10001575,18.59,2,0.7,-13.63
38,CA-2014-115791,7/4/2016,7/6/2016,Second Class,DL-13315,OFF-LA-10001074,30.07,3,0.2,10.15
39,CA-2014-123477,7/6/2016,7/9/2016,Second Class,DW-13195,OFF-AP-10000692,64.86,4,0.2,6.49
40,CA-2014-146591,7/7/2016,7/8/2016,First Class,TS-21340,OFF-BI-10003676,32.34,10,0.7,-23.72
41,CA-2014-146591,7/7/2016,7/8/2016,First Class,TS-21340,OFF-PA-10000659,56.06,4,0.2,19.62
42,CA-2014-146591,7/7/2016,7/8/2016,First Class,TS-21340,OFF-EN-10002504,108.72,5,0.2,36.69
43,CA-2014-146591,7/7/2016,7/8/2016,First Class,TS-21340,FUR-BO-10001972,181.47,5,0.7,-320.60
44,US-2014-147627,7/8/2016,7/14/2016,Standard Class,HL-15040,TEC-PH-10001061,699.93,7,0,181.98
45,US-2014-147627,7/8/2016,7/14/2016,Standard Class,HL-15040,OFF-AR-10002375,22.96,7,0,6.66
46,US-2014-147627,7/8/2016,7/14/2016,Standard Class,HL-15040,FUR-FU-10003194,38.60,4,0,11.58
47,US-2014-147627,7/8/2016,7/14/2016,Standard Class,HL-15040,OFF-AR-10003811,6.63,3,0,1.79
48,US-2014-147627,7/8/2016,7/14/2016,Standard Class,HL-15040,OFF-EN-10001539,23.34,3,0,10.97
49,US-2014-147627,7/8/2016,7/14/2016,Standard Class,HL-15040,FUR-CH-10002331,1067.94,3,0,224.27
50,CA-2014-148614,7/8/2016,7/13/2016,Standard Class,MV-17485,OFF-PA-10002893,19.36,2,0,9.29
51,CA-2014-148614,7/8/2016,7/13/2016,Standard Class,MV-17485,FUR-FU-10003194,19.30,2,0,5.79
52,CA-2014-167927,7/8/2016,7/14/2016,Standard Class,XP-21865,OFF-ST-10000760,13.98,1,0,4.05
53,CA-2014-167927,7/8/2016,7/14/2016,Standard Class,XP-21865,FUR-FU-10002918,272.94,3,0,30.02
