Order Line,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
7973,CA-2017-166142,2020-01-01,2020-01-05,Standard Class,MM-17260,OFF-BI-10004094,26.55,3,0,13.01
7974,CA-2017-166142,2020-01-01,2020-01-05,Standard Class,MM-17260,FUR-TA-10004607,310.44,3,0.3,-48.78
7975,CA-2017-164378,2020-01-01,2020-01-04,Second Class,MM-18055,OFF-AR-10001177,6.56,2,0,1.9
7976,CA-2017-164378,2020-01-01,2020-01-04,Second Class,MM-18055,OFF-LA-10000634,7.83,3,0,3.6
7977,CA-2017-164378,2020-01-01,2020-01-04,Second Class,MM-18055,TEC-AC-10004708,41.9,2,0,8.8
7978,CA-2017-164378,2020-01-01,2020-01-04,Second Class,MM-18055,FUR-CH-10002084,664.15,6,0.1,88.55
7979,CA-2017-164378,2020-01-01,2020-01-04,Second Class,MM-18055,OFF-PA-10004519,8.96,2,0,4.39
7980,US-2017-128951,2020-01-01,2020-01-03,First Class,RS-19420,OFF-AP-10002191,179.94,3,0,50.38
7981,US-2017-128951,2020-01-01,2020-01-03,First Class,RS-19420,FUR-TA-10004575,872.94,3,0,157.13
7982,US-2017-128951,2020-01-01,2020-01-03,First Class,RS-19420,OFF-PA-10003177,12.96,2,0,6.22
7983,US-2017-156909,2020-01-02,2020-01-04,Second Class,SF-20065,FUR-CH-10002774,71.37,2,0.3,-1.02
7984,CA-2017-109778,2020-01-02,2020-01-07,Standard Class,VM-21685,OFF-AR-10003759,2.91,2,0.2,0.91
7985,US-2017-152842,2020-01-02,2020-01-09,Standard Class,NF-18385,FUR-CH-10004218,242.35,3,0.2,15.15
7986,CA-2017-139948,2020-01-03,2020-01-08,Standard Class,SW-20455,FUR-FU-10002597,7.9,2,0.2,2.17
7987,US-2017-105046,2020-01-03,2020-01-09,Standard Class,BE-11335,TEC-PH-10004536,269.98,2,0,67.5
7988,US-2017-105046,2020-01-03,2020-01-09,Standard Class,BE-11335,OFF-PA-10004353,99.9,5,0,47.95
7989,US-2017-105046,2020-01-03,2020-01-09,Standard Class,BE-11335,FUR-FU-10004848,39.08,4,0,14.46
7990,CA-2017-126662,2020-01-03,2020-01-07,Standard Class,AB-10255,TEC-CO-10004202,479.98,2,0.2,90
7991,CA-2017-142342,2020-01-03,2020-01-05,Second Class,AJ-10795,OFF-PA-10004609,32.4,5,0,15.55
7992,CA-2017-142342,2020-01-03,2020-01-05,Second Class,AJ-10795,OFF-EN-10002592,57.9,5,0,28.95
7993,CA-2017-142342,2020-01-03,2020-01-05,Second Class,AJ-10795,OFF-ST-10002957,10.56,2,0,0
7994,CA-2017-142342,2020-01-03,2020-01-05,Second Class,AJ-10795,FUR-BO-10002613,1194.17,5,0.15,210.74
7995,US-2017-142573,2020-01-04,2020-01-09,Standard Class,ML-17410,FUR-TA-10001932,801.6,5,0.5,-448.9
7996,US-2017-142573,2020-01-04,2020-01-09,Standard Class,ML-17410,FUR-CH-10004218,161.57,2,0.2,10.1
7997,US-2017-142573,2020-01-04,2020-01-09,Standard Class,ML-17410,OFF-PA-10000246,16.1,2,0.2,5.23
7998,US-2017-142573,2020-01-04,2020-01-09,Standard Class,ML-17410,OFF-BI-10003350,7.66,4,0.7,-6.12
7999,US-2017-142573,2020-01-04,2020-01-09,Standard Class,ML-17410,FUR-CH-10000513,311.98,3,0.2,-42.9
8000,US-2017-165358,2020-01-04,2020-01-09,Standard Class,SV-20365,TEC-CO-10001943,599.97,5,0.4,70
8001,US-2017-165358,2020-01-04,2020-01-09,Standard Class,SV-20365,FUR-CH-10002647,198.74,4,0.3,-14.2
8002,US-2017-165358,2020-01-04,2020-01-09,Standard Class,SV-20365,OFF-SU-10004768,9.18,2,0.2,1.15
8003,CA-2017-118640,2020-01-06,2020-01-12,Standard Class,CS-11950,OFF-ST-10002974,69.71,2,0.2,8.71
8004,CA-2017-118640,2020-01-06,2020-01-12,Standard Class,CS-11950,FUR-FU-10001475,8.79,1,0.6,-5.71
8005,CA-2017-122035,2020-01-06,2020-01-11,Standard Class,EM-13825,OFF-LA-10004093,14.62,2,0,6.87
8006,CA-2017-122035,2020-01-06,2020-01-11,Standard Class,EM-13825,OFF-AP-10002118,416.32,2,0,112.41
8007,CA-2017-122035,2020-01-06,2020-01-11,Standard Class,EM-13825,OFF-BI-10000404,43,5,0,20.21
8008,CA-2017-122035,2020-01-06,2020-01-11,Standard Class,EM-13825,FUR-CH-10003833,182.94,3,0,27.44
8009,CA-2017-122035,2020-01-06,2020-01-11,Standard Class,EM-13825,OFF-BI-10002072,60.83,7,0,30.42
8010,CA-2017-122035,2020-01-06,2020-01-11,Standard Class,EM-13825,TEC-AC-10003095,389.97,3,0,132.59
8011,CA-2017-150497,2020-01-06,2020-01-10,Standard Class,SM-20950,OFF-BI-10004600,735.98,2,0,331.19
8012,US-2017-108343,2020-01-06,2020-01-11,Standard Class,AR-10825,OFF-PA-10000743,13.36,2,0,6.41
8013,US-2017-108343,2020-01-06,2020-01-11,Standard Class,AR-10825,FUR-CH-10002780,163.76,2,0.1,25.47
8014,US-2017-108343,2020-01-06,2020-01-11,Standard Class,AR-10825,FUR-FU-10000747,183.92,4,0,31.27
8015,US-2017-127719,2020-01-07,2020-01-11,Standard Class,TW-21025,OFF-PA-10001934,6.48,1,0,3.18
8016,US-2017-158505,2020-01-07,2020-01-07,Same Day,SF-20200,TEC-PH-10004071,71.93,9,0.2,6.29
8017,US-2017-158505,2020-01-07,2020-01-07,Same Day,SF-20200,OFF-AR-10001044,25.99,1,0,7.54
8018,US-2017-160465,2020-01-07,2020-01-12,Standard Class,SW-20350,OFF-BI-10001670,33.93,3,0.7,-22.62
8019,US-2017-160465,2020-01-07,2020-01-12,Standard Class,SW-20350,OFF-ST-10000136,222.32,7,0.2,25.01
8020,US-2017-160465,2020-01-07,2020-01-12,Standard Class,SW-20350,TEC-PH-10004522,210.56,6,0.4,-52.64
8021,CA-2017-104731,2020-01-07,2020-01-13,Standard Class,AM-10705,OFF-AR-10003727,101.94,6,0,29.56
8022,CA-2017-104731,2020-01-07,2020-01-13,Standard Class,AM-10705,TEC-PH-10002660,271.96,4,0,67.99
8023,CA-2017-104731,2020-01-07,2020-01-13,Standard Class,AM-10705,FUR-FU-10003274,8.8,5,0,3.87
8024,CA-2017-104731,2020-01-07,2020-01-13,Standard Class,AM-10705,OFF-AR-10003829,19.68,6,0,5.71
8025,CA-2017-104731,2020-01-07,2020-01-13,Standard Class,AM-10705,FUR-BO-10003441,302.94,3,0,69.68
8026,CA-2017-104731,2020-01-07,2020-01-13,Standard Class,AM-10705,OFF-BI-10003355,14.94,3,0,7.17
8027,CA-2017-104731,2020-01-07,2020-01-13,Standard Class,AM-10705,OFF-SU-10003505,231.72,2,0,11.59
8028,CA-2017-145429,2020-01-07,2020-01-11,Standard Class,SW-20455,OFF-PA-10003205,16.34,2,0,7.68
8029,CA-2017-145429,2020-01-07,2020-01-11,Standard Class,SW-20455,FUR-CH-10000988,225.3,2,0.2,22.53
8030,CA-2017-145429,2020-01-07,2020-01-11,Standard Class,SW-20455,OFF-BI-10001524,50.35,3,0.2,17.62
8031,US-2017-123204,2020-01-07,2020-01-13,Standard Class,CS-11860,OFF-AP-10002287,17.48,4,0,4.54
8032,CA-2017-118724,2020-01-07,2020-01-11,Second Class,AR-10825,OFF-AR-10003469,3.52,2,0,1.69
8033,CA-2017-118724,2020-01-07,2020-01-11,Second Class,AR-10825,TEC-PH-10002549,1626.19,9,0.2,121.96
8034,US-2017-123834,2020-01-07,2020-01-11,Standard Class,GM-14500,FUR-TA-10001676,124.4,4,0.3,-21.33
8035,CA-2017-103478,2020-01-07,2020-01-10,Second Class,KL-16555,OFF-BI-10001890,2.86,4,0.8,-4.58
8036,CA-2017-103478,2020-01-07,2020-01-10,Second Class,KL-16555,OFF-BI-10004224,94.19,7,0.8,-164.84
8037,CA-2017-145093,2020-01-07,2020-01-12,Standard Class,PT-19090,OFF-BI-10001116,2.11,2,0.8,-3.38
8038,CA-2017-109750,2020-01-08,2020-01-14,Standard Class,FH-14365,TEC-PH-10000702,29.97,3,0,14.09
8039,US-2017-106551,2020-01-08,2020-01-13,Standard Class,EB-13930,FUR-CH-10004997,526.34,4,0.3,-75.19
8040,CA-2017-117240,2020-01-09,2020-01-14,Standard Class,CP-12340,OFF-BI-10000848,13.13,3,0.2,4.27
8041,US-2017-169320,2020-01-09,2020-01-11,Second Class,LH-16900,OFF-AR-10003602,11.68,2,0,5.49
8042,US-2017-169320,2020-01-09,2020-01-11,Second Class,LH-16900,TEC-AC-10002550,159.75,5,0,11.18
8043,CA-2017-103506,2020-01-09,2020-01-13,Standard Class,LR-17035,OFF-LA-10001158,41.4,4,0,19.87
8044,CA-2017-125367,2020-01-09,2020-01-16,Standard Class,NM-18445,OFF-BI-10002412,13.92,3,0.2,4.35
8045,US-2017-101721,2020-01-09,2020-01-13,Standard Class,MY-17380,OFF-PA-10003641,63.31,3,0.2,20.58
